FechaExtraccion,Año,PC,Cat,TipDia,ValMop,Hinicio,Hfin,Tarifa_Inf,Tarifa_Inicial,Tarifa_Periodo,Conces,Sentido
2023-11-06T16:16:37.76Z,2018,0004,1,0001,687.53,173000,192959,,TBFP,TS,AVN,P
2023-11-06T16:16:37.76Z,2018,0004,2,0001,1375.06,173000,192959,,TBFP,TS,AVN,P
2023-11-06T16:16:37.76Z,2018,0004,3,0001,2062.59,173000,192959,,TBFP,TS,AVN,P
2023-11-06T16:16:37.76Z,2018,0004,4,0001,687.53,173000,192959,,TBFP,TS,AVN,P
2023-11-06T16:16:37.76Z,2018,0004,1,0001,458.35,193000,202959,,TBFP,TBP,AVN,P
2023-11-06T16:16:37.76Z,2018,0004,2,0001,916.71,193000,202959,,TBFP,TBP,AVN,P
2023-11-06T16:16:37.76Z,2018,0004,3,0001,1375.06,193000,202959,,TBFP,TBP,AVN,P
2023-11-06T16:16:37.76Z,2018,0004,4,0001,458.35,193000,202959,,TBFP,TBP,AVN,P
2023-11-06T16:16:37.76Z,2018,0004,1,0001,229.18,203000,235959,,TBFP,TBFP,AVN,P
2023-11-06T16:16:37.76Z,2018,0004,2,0001,458.35,203000,235959,,TBFP,TBFP,AVN,P
2023-11-06T16:16:37.76Z,2018,0004,3,0001,687.53,203000,235959,,TBFP,TBFP,AVN,P
2023-11-06T16:16:37.76Z,2018,0004,4,0001,229.18,203000,235959,,TBFP,TBFP,AVN,P
2023-11-06T16:16:37.76Z,2018,0004,1,0002,229.18,000000,105959,,TBFP,TBFP,AVN,P
2023-11-06T16:16:37.76Z,2018,0004,2,0002,458.35,000000,105959,,TBFP,TBFP,AVN,P
2023-11-06T16:16:37.76Z,2018,0004,3,0002,687.53,000000,105959,,TBFP,TBFP,AVN,P
2023-11-06T16:16:37.76Z,2018,0004,4,0002,229.18,000000,105959,,TBFP,TBFP,AVN,P
2023-11-06T16:16:37.76Z,2018,0004,1,0002,458.35,110000,135959,,TBP,TBP,AVN,P
2023-11-06T16:16:37.76Z,2018,0004,2,0002,916.71,110000,135959,,TBP,TBP,AVN,P
2023-11-06T16:16:37.76Z,2018,0004,3,0002,1375.06,110000,135959,,TBP,TBP,AVN,P
2023-11-06T16:16:37.76Z,2018,0004,4,0002,458.35,110000,135959,,TBP,TBP,AVN,P
2023-11-06T16:16:37.76Z,2018,0004,1,0002,229.18,140000,185959,,TBFP,TBFP,AVN,P
2023-11-06T16:16:37.76Z,2018,0004,2,0002,458.35,140000,185959,,TBFP,TBFP,AVN,P
2023-11-06T16:16:37.76Z,2018,0004,3,0002,687.53,140000,185959,,TBFP,TBFP,AVN,P
