STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,ACTION,FREQ,Frequency of observation,REF_AREA,Reference area,SECTOR,Institutional sector,COUNTERPART_SECTOR,Counterpart institutional sector,TRANSACTION,Transaction,INSTR_ASSET,Financial instruments and non-financial assets,ACTIVITY,Economic activity,EXPENDITURE,Expenditure,UNIT_MEASURE,Unit of measure,PRICE_BASE,Price base,TRANSFORMATION,Transformation,TABLE_IDENTIFIER,Table identifier,TIME_PERIOD,Time period,OBS_VALUE,Observation value,REF_YEAR_PRICE,Price reference year,CONF_STATUS,Confidentiality status,DECIMALS,Decimals,OBS_STATUS,Observation status,UNIT_MULT,Unit multiplier,CURRENCY,Currency
DATAFLOW,OECD.SDD.NAD:DSD_NAMAIN10@DF_TABLE2(1.0),"Annual national disposable income, saving and net lending/net borrowing",I,A,Annual,CHL,Chile,S1,Total economy,S1,Total economy,B1GQ,Gross domestic product,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,XDC,National currency,V,Current prices,N,Non transformed data,T0107,"Table 0107 - Disposable income, saving, net lending / borrowing",2019,,195752228.488,,,,F,Free (free for publication),1,One,A,Normal value,6,Millions,CLP,Chilean peso
DATAFLOW,OECD.SDD.NAD:DSD_NAMAIN10@DF_TABLE2(1.0),"Annual national disposable income, saving and net lending/net borrowing",I,A,Annual,CHL,Chile,S1,Total economy,S1,Total economy,B1GQ,Gross domestic product,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,XDC,National currency,V,Current prices,N,Non transformed data,T0107,"Table 0107 - Disposable income, saving, net lending / borrowing",2020,,201428894.222,,,,F,Free (free for publication),1,One,A,Normal value,6,Millions,CLP,Chilean peso
DATAFLOW,OECD.SDD.NAD:DSD_NAMAIN10@DF_TABLE2(1.0),"Annual national disposable income, saving and net lending/net borrowing",I,A,Annual,CHL,Chile,S1,Total economy,S1,Total economy,B1GQ,Gross domestic product,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,XDC,National currency,V,Current prices,N,Non transformed data,T0107,"Table 0107 - Disposable income, saving, net lending / borrowing",2021,,240371473.145,,,,F,Free (free for publication),1,One,A,Normal value,6,Millions,CLP,Chilean peso
DATAFLOW,OECD.SDD.NAD:DSD_NAMAIN10@DF_TABLE2(1.0),"Annual national disposable income, saving and net lending/net borrowing",I,A,Annual,CHL,Chile,S1,Total economy,S1,Total economy,B1GQ,Gross domestic product,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,XDC,National currency,V,Current prices,N,Non transformed data,T0107,"Table 0107 - Disposable income, saving, net lending / borrowing",2022,,262593355.842,,,,F,Free (free for publication),1,One,A,Normal value,6,Millions,CLP,Chilean peso
DATAFLOW,OECD.SDD.NAD:DSD_NAMAIN10@DF_TABLE2(1.0),"Annual national disposable income, saving and net lending/net borrowing",I,A,Annual,CHL,Chile,S1,Total economy,S1,Total economy,B8N,"Saving, net",_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,XDC,National currency,V,Current prices,N,Non transformed data,T0107,"Table 0107 - Disposable income, saving, net lending / borrowing",2019,,38743892.03,,,,F,Free (free for publication),1,One,A,Normal value,6,Millions,CLP,Chilean peso
DATAFLOW,OECD.SDD.NAD:DSD_NAMAIN10@DF_TABLE2(1.0),"Annual national disposable income, saving and net lending/net borrowing",I,A,Annual,CHL,Chile,S1,Total economy,S1,Total economy,B8N,"Saving, net",_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,XDC,National currency,V,Current prices,N,Non transformed data,T0107,"Table 0107 - Disposable income, saving, net lending / borrowing",2020,,38676537.474,,,,F,Free (free for publication),1,One,A,Normal value,6,Millions,CLP,Chilean peso
DATAFLOW,OECD.SDD.NAD:DSD_NAMAIN10@DF_TABLE2(1.0),"Annual national disposable income, saving and net lending/net borrowing",I,A,Annual,CHL,Chile,S1,Total economy,S1,Total economy,B8N,"Saving, net",_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,XDC,National currency,V,Current prices,N,Non transformed data,T0107,"Table 0107 - Disposable income, saving, net lending / borrowing",2021,,40817047.373,,,,F,Free (free for publication),1,One,A,Normal value,6,Millions,CLP,Chilean peso
DATAFLOW,OECD.SDD.NAD:DSD_NAMAIN10@DF_TABLE2(1.0),"Annual national disposable income, saving and net lending/net borrowing",I,A,Annual,CHL,Chile,S1,Total economy,S1,Total economy,B8N,"Saving, net",_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,XDC,National currency,V,Current prices,N,Non transformed data,T0107,"Table 0107 - Disposable income, saving, net lending / borrowing",2022,,43136011.783,,,,F,Free (free for publication),1,One,A,Normal value,6,Millions,CLP,Chilean peso
DATAFLOW,OECD.SDD.NAD:DSD_NAMAIN10@DF_TABLE2(1.0),"Annual national disposable income, saving and net lending/net borrowing",I,A,Annual,CHL,Chile,S1,Total economy,S1,Total economy,B6N,"Disposable income, net",_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,XDC,National currency,V,Current prices,N,Non transformed data,T0107,"Table 0107 - Disposable income, saving, net lending / borrowing",2019,,189153558.934,,,,F,Free (free for publication),1,One,A,Normal value,6,Millions,CLP,Chilean peso
DATAFLOW,OECD.SDD.NAD:DSD_NAMAIN10@DF_TABLE2(1.0),"Annual national disposable income, saving and net lending/net borrowing",I,A,Annual,CHL,Chile,S1,Total economy,S1,Total economy,B6N,"Disposable income, net",_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,XDC,National currency,V,Current prices,N,Non transformed data,T0107,"Table 0107 - Disposable income, saving, net lending / borrowing",2020,,188540855.183,,,,F,Free (free for publication),1,One,A,Normal value,6,Millions,CLP,Chilean peso
DATAFLOW,OECD.SDD.NAD:DSD_NAMAIN10@DF_TABLE2(1.0),"Annual national disposable income, saving and net lending/net borrowing",I,A,Annual,CHL,Chile,S1,Total economy,S1,Total economy,B6N,"Disposable income, net",_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,XDC,National currency,V,Current prices,N,Non transformed data,T0107,"Table 0107 - Disposable income, saving, net lending / borrowing",2021,,224256555.522,,,,F,Free (free for publication),1,One,A,Normal value,6,Millions,CLP,Chilean peso
DATAFLOW,OECD.SDD.NAD:DSD_NAMAIN10@DF_TABLE2(1.0),"Annual national disposable income, saving and net lending/net borrowing",I,A,Annual,CHL,Chile,S1,Total economy,S1,Total economy,B6N,"Disposable income, net",_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,XDC,National currency,V,Current prices,N,Non transformed data,T0107,"Table 0107 - Disposable income, saving, net lending / borrowing",2022,,248639372.047,,,,F,Free (free for publication),1,One,A,Normal value,6,Millions,CLP,Chilean peso
DATAFLOW,OECD.SDD.NAD:DSD_NAMAIN10@DF_TABLE2(1.0),"Annual national disposable income, saving and net lending/net borrowing",I,A,Annual,CHL,Chile,S1,Total economy,S1,Total economy,B5N,"Balance of primary incomes, net / National income, net",_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,XDC,National currency,V,Current prices,N,Non transformed data,T0107,"Table 0107 - Disposable income, saving, net lending / borrowing",2019,,188419084.622,,,,F,Free (free for publication),1,One,A,Normal value,6,Millions,CLP,Chilean peso
DATAFLOW,OECD.SDD.NAD:DSD_NAMAIN10@DF_TABLE2(1.0),"Annual national disposable income, saving and net lending/net borrowing",I,A,Annual,CHL,Chile,S1,Total economy,S1,Total economy,B5N,"Balance of primary incomes, net / National income, net",_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,XDC,National currency,V,Current prices,N,Non transformed data,T0107,"Table 0107 - Disposable income, saving, net lending / borrowing",2020,,188868059.88,,,,F,Free (free for publication),1,One,A,Normal value,6,Millions,CLP,Chilean peso
DATAFLOW,OECD.SDD.NAD:DSD_NAMAIN10@DF_TABLE2(1.0),"Annual national disposable income, saving and net lending/net borrowing",I,A,Annual,CHL,Chile,S1,Total economy,S1,Total economy,B5N,"Balance of primary incomes, net / National income, net",_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,XDC,National currency,V,Current prices,N,Non transformed data,T0107,"Table 0107 - Disposable income, saving, net lending / borrowing",2021,,226354126.458,,,,F,Free (free for publication),1,One,A,Normal value,6,Millions,CLP,Chilean peso
DATAFLOW,OECD.SDD.NAD:DSD_NAMAIN10@DF_TABLE2(1.0),"Annual national disposable income, saving and net lending/net borrowing",I,A,Annual,CHL,Chile,S1,Total economy,S1,Total economy,B5N,"Balance of primary incomes, net / National income, net",_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,XDC,National currency,V,Current prices,N,Non transformed data,T0107,"Table 0107 - Disposable income, saving, net lending / borrowing",2022,,248137230.169,,,,F,Free (free for publication),1,One,A,Normal value,6,Millions,CLP,Chilean peso
DATAFLOW,OECD.SDD.NAD:DSD_NAMAIN10@DF_TABLE2(1.0),"Annual national disposable income, saving and net lending/net borrowing",I,A,Annual,CHL,Chile,S1,Total economy,S1,Total economy,B5G,"Balance of primary incomes, gross / National income, gross",_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,XDC,National currency,V,Current prices,N,Non transformed data,T0107,"Table 0107 - Disposable income, saving, net lending / borrowing",2019,,188419084.622,,,,F,Free (free for publication),1,One,A,Normal value,6,Millions,CLP,Chilean peso
DATAFLOW,OECD.SDD.NAD:DSD_NAMAIN10@DF_TABLE2(1.0),"Annual national disposable income, saving and net lending/net borrowing",I,A,Annual,CHL,Chile,S1,Total economy,S1,Total economy,B5G,"Balance of primary incomes, gross / National income, gross",_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,XDC,National currency,V,Current prices,N,Non transformed data,T0107,"Table 0107 - Disposable income, saving, net lending / borrowing",2020,,188868059.88,,,,F,Free (free for publication),1,One,A,Normal value,6,Millions,CLP,Chilean peso
DATAFLOW,OECD.SDD.NAD:DSD_NAMAIN10@DF_TABLE2(1.0),"Annual national disposable income, saving and net lending/net borrowing",I,A,Annual,CHL,Chile,S1,Total economy,S1,Total economy,B5G,"Balance of primary incomes, gross / National income, gross",_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,XDC,National currency,V,Current prices,N,Non transformed data,T0107,"Table 0107 - Disposable income, saving, net lending / borrowing",2021,,226354126.458,,,,F,Free (free for publication),1,One,A,Normal value,6,Millions,CLP,Chilean peso
DATAFLOW,OECD.SDD.NAD:DSD_NAMAIN10@DF_TABLE2(1.0),"Annual national disposable income, saving and net lending/net borrowing",I,A,Annual,CHL,Chile,S1,Total economy,S1,Total economy,B5G,"Balance of primary incomes, gross / National income, gross",_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,XDC,National currency,V,Current prices,N,Non transformed data,T0107,"Table 0107 - Disposable income, saving, net lending / borrowing",2022,,248137230.169,,,,F,Free (free for publication),1,One,A,Normal value,6,Millions,CLP,Chilean peso
DATAFLOW,OECD.SDD.NAD:DSD_NAMAIN10@DF_TABLE2(1.0),"Annual national disposable income, saving and net lending/net borrowing",I,A,Annual,CHL,Chile,S1,Total economy,S1,Total economy,B1GQXOTGL,Gross domestic income,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,XDC,National currency,V,Current prices,N,Non transformed data,T0107,"Table 0107 - Disposable income, saving, net lending / borrowing",2019,,195752228.488,,,,F,Free (free for publication),1,One,A,Normal value,6,Millions,CLP,Chilean peso
DATAFLOW,OECD.SDD.NAD:DSD_NAMAIN10@DF_TABLE2(1.0),"Annual national disposable income, saving and net lending/net borrowing",I,A,Annual,CHL,Chile,S1,Total economy,S1,Total economy,B1GQXOTGL,Gross domestic income,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,XDC,National currency,V,Current prices,N,Non transformed data,T0107,"Table 0107 - Disposable income, saving, net lending / borrowing",2020,,201428894.222,,,,F,Free (free for publication),1,One,A,Normal value,6,Millions,CLP,Chilean peso
DATAFLOW,OECD.SDD.NAD:DSD_NAMAIN10@DF_TABLE2(1.0),"Annual national disposable income, saving and net lending/net borrowing",I,A,Annual,CHL,Chile,S1,Total economy,S1,Total economy,B1GQXOTGL,Gross domestic income,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,XDC,National currency,V,Current prices,N,Non transformed data,T0107,"Table 0107 - Disposable income, saving, net lending / borrowing",2021,,240371473.145,,,,F,Free (free for publication),1,One,A,Normal value,6,Millions,CLP,Chilean peso
DATAFLOW,OECD.SDD.NAD:DSD_NAMAIN10@DF_TABLE2(1.0),"Annual national disposable income, saving and net lending/net borrowing",I,A,Annual,CHL,Chile,S1,Total economy,S1,Total economy,B1GQXOTGL,Gross domestic income,_Z,Not applicable,_Z,Not applicable,_Z,Not applicable,XDC,National currency,V,Current prices,N,Non transformed data,T0107,"Table 0107 - Disposable income, saving, net lending / borrowing",2022,,262593355.842,,,,F,Free (free for publication),1,One,A,Normal value,6,Millions,CLP,Chilean peso
